Company;Flight;Terminal;Status;Date;Arrival;Real_Arrival;Origin;IATA;Departure;Departure_time;Departure_real_time
Iberia;IB 5349;1;Programado - Puntual;2018-11-02;22:50;22:53;Ibiza;IBZ;2018-11-02; 21:55;
Qatar Airways;QR 3613;1;Programado - Puntual;2018-11-02;22:50;22:53;Ibiza;IBZ;2018-11-02; 21:55;
easyJet;U2 1081;2;Programado;2018-11-02;22:55;22:55;Basel, Switzerland / Mulhouse;BSL;2018-11-02; 21:15;
Joon;JN 1448;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
Aeromexico;AM 6031;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
JAL;JL 5353;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
Korean Air;KE 6341;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
China Eastern Airlines;MU 8637;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
Air Europa;UX 3348;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
Vietnam Airlines;VN 3674;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
Air France;AF 1448;1;Programado;2018-11-02;22:55;22:55;Paris;CDG;2018-11-02; 21:10;
easyJet;U2 8581;2;Programado;2018-11-02;22:55;22:55;London;LGW;2018-11-02; 19:50;
SWISS;LX 1950;1;Programado;2018-11-02;22:55;22:55;Zurich;ZRH;2018-11-02; 21:15;
Vueling;VY 1673;1;Programado - Puntual;2018-11-02;23:00;23:07;Santiago De Compostela;SCQ;2018-11-02; 21:20;
Iberia;IB 5055;1;Programado - Puntual;2018-11-02;23:00;23:07;Santiago De Compostela;SCQ;2018-11-02; 21:20;
Qatar Airways;QR 3561;1;Programado - Puntual;2018-11-02;23:00;23:07;Santiago De Compostela;SCQ;2018-11-02; 21:20;
KLM;KL 1681;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Aeromexico;AM 6510;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
China Southern Airlines;CZ 7713;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Etihad Airways;EY 7327;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Korean Air;KE 6413;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Xiamen Airlines;MF 9707;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Air Mauritius;MK 7600;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
China Eastern Airlines;MU 6255;1;Programado - Puntual;2018-11-02;23:05;23:05;Amsterdam;AMS;2018-11-02; 20:55;
Norwegian Air International;D8 5555;2;Programado - Puntual;2018-11-02;23:05;23:05;Stockholm;ARN;2018-11-02; 19:40;
Ryanair;FR 8140;2;Programado - Puntual;2018-11-02;23:05;23:05;Ibiza;IBZ;2018-11-02; 22:10;
Vueling;VY 2118;1;Programado - Puntual;2018-11-02;23:10;23:10;Malaga;AGP;2018-11-02; 21:35;
Iberia;IB 5362;1;Programado - Puntual;2018-11-02;23:10;23:10;Malaga;AGP;2018-11-02; 21:35;
Qatar Airways;QR 3511;1;Programado - Puntual;2018-11-02;23:10;23:10;Malaga;AGP;2018-11-02; 21:35;
Alitalia;AZ 78;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Bulgaria Air;FB 1467;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Air Serbia;JU 8412;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Korean Air;KE 6283;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
China Eastern Airlines;MU 8195;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Aeroflot;SU 4183;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Air Europa;UX 3129;1;Programado;2018-11-02;23:15;23:15;Rome;FCO;2018-11-02; 21:25;
Lufthansa;LH 1138;1;Programado;2018-11-02;23:15;23:15;Frankfurt;FRA;2018-11-02; 21:15;
Air China;CA 6293;1;Programado;2018-11-02;23:15;23:15;Frankfurt;FRA;2018-11-02; 21:15;
SAS;SK 3380;1;Programado;2018-11-02;23:15;23:15;Frankfurt;FRA;2018-11-02; 21:15;
Thai Airways International;TG 7656;1;Programado;2018-11-02;23:15;23:15;Frankfurt;FRA;2018-11-02; 21:15;
Norwegian Air International;D8 5503;2;Programado - Puntual;2018-11-02;23:15;23:15;London;LGW;2018-11-02; 20:15;
Ryanair;FR 6380;2;Programado - Puntual;2018-11-02;23:15;23:15;Santiago De Compostela;SCQ;2018-11-02; 21:30;
Ryanair;FR 3046;2;Programado - Puntual;2018-11-02;23:15;23:15;Venice;VCE;2018-11-02; 21:20;
Vueling;VY 1509;1;Programado - Puntual;2018-11-02;23:20;23:20;Marseille;MRS;2018-11-02; 22:20;
Iberia;IB 5043;1;Programado - Puntual;2018-11-02;23:20;23:20;Marseille;MRS;2018-11-02; 22:20;
Ryanair;FR 9814;2;Programado - Puntual;2018-11-02;23:20;23:20;London;STN;2018-11-02; 20:05;
Ryanair;FR 3075;2;Programado - Puntual;2018-11-02;23:20;23:20;Sevilla;SVQ;2018-11-02; 21:40;
Ryanair;FR 6366;2;Programado - Puntual;2018-11-02;23:30;23:30;Milan;BGY;2018-11-02; 21:50;
Norwegian Air International;D8 5753;2;Programado - Puntual;2018-11-02;23:30;23:30;Las Palmas;LPA;2018-11-02; 19:20;
Vueling;VY 8023;1;Programado - Puntual;2018-11-02;23:30;23:32;Paris;ORY;2018-11-02; 21:55;
Iberia;IB 5277;1;Programado - Puntual;2018-11-02;23:30;23:32;Paris;ORY;2018-11-02; 21:55;
Vueling;VY 8991;1;Programado - Puntual;2018-11-02;23:35;23:36;Brussels;BRU;2018-11-02; 21:35;
Iberia;IB 5337;1;Programado - Puntual;2018-11-02;23:35;23:36;Brussels;BRU;2018-11-02; 21:35;
Vueling;VY 1518;1;Programado - Puntual;2018-11-02;23:35;23:35;Nice;NCE;2018-11-02; 22:20;
Iberia;IB 5048;1;Programado - Puntual;2018-11-02;23:35;23:35;Nice;NCE;2018-11-02; 22:20;
Vueling;VY 8475;1;Programado - Retrasado;2018-11-02;23:35;23:51;Porto;OPO;2018-11-02; 20:55;
Iberia;IB 5713;1;Programado - Retrasado;2018-11-02;23:35;23:51;Porto;OPO;2018-11-02; 20:55;
TAP Portugal;TP 1042;1;Programado;2018-11-02;23:40;23:40;Lisbon;LIS;2018-11-02; 20:50;
Air Canada;AC 6940;1;Programado;2018-11-02;23:40;23:40;Lisbon;LIS;2018-11-02; 20:50;
Etihad Airways;EY 5809;1;Programado;2018-11-02;23:40;23:40;Lisbon;LIS;2018-11-02; 20:50;
United Airlines;UA 6870;1;Programado;2018-11-02;23:40;23:40;Lisbon;LIS;2018-11-02; 20:50;
Vueling;VY 3901;1;Programado - Puntual;2018-11-02;23:40;23:42;Palma Mallorca;PMI;2018-11-02; 22:50;
Iberia;IB 5175;1;Programado - Puntual;2018-11-02;23:40;23:42;Palma Mallorca;PMI;2018-11-02; 22:50;
Swiftair;WT 114;;Programado;2018-11-02;23:45;23:45;Palma Mallorca;PMI;2018-11-02; 22:45;
Vueling;VY 6403;1;Programado - Puntual;2018-11-02;23:45;23:51;Venice;VCE;2018-11-02; 21:55;
Iberia;IB 5231;1;Programado - Puntual;2018-11-02;23:45;23:51;Venice;VCE;2018-11-02; 21:55;
Ryanair;FR 2508;2;Programado - Puntual;2018-11-02;23:50;23:50;Cologne;CGN;2018-11-02; 21:25;
Ryanair;FR 1526;2;Programado - Retrasado;2018-11-02;23:50;00:15;Malta;MLA;2018-11-02; 21:35;
Vueling;VY 1705;1;Programado - Puntual;2018-11-02;23:50;23:53;Vigo;VGO;2018-11-02; 22:10;
Iberia;IB 5729;1;Programado - Puntual;2018-11-02;23:50;23:53;Vigo;VGO;2018-11-02; 22:10;
Qatar Airways;QR 3599;1;Programado - Puntual;2018-11-02;23:50;23:53;Vigo;VGO;2018-11-02; 22:10;
Ryanair;FR 6303;2;Programado - Puntual;2018-11-02;23:55;23:55;Puerto del Rosario;FUE;2018-11-02; 19:45;
Vueling;VY 1297;1;Programado - Puntual;2018-11-02;23:55;23:57;La Coruna;LCG;2018-11-02; 22:15;
Iberia;IB 5909;1;Programado - Puntual;2018-11-02;23:55;23:57;La Coruna;LCG;2018-11-02; 22:15;
Vueling;VY 8463;1;Programado - Puntual;2018-11-02;23:55;23:53;Lisbon;LIS;2018-11-02; 21:00;
Iberia;IB 5317;1;Programado - Puntual;2018-11-02;23:55;23:53;Lisbon;LIS;2018-11-02; 21:00;
Qatar Airways;QR 3594;1;Programado - Puntual;2018-11-02;23:55;23:53;Lisbon;LIS;2018-11-02; 21:00;
Vueling;VY 6503;1;Programado - Puntual;2018-11-02;23:55;23:49;Naples;NAP;2018-11-02; 21:55;
Iberia;IB 5237;1;Programado - Puntual;2018-11-02;23:55;23:49;Naples;NAP;2018-11-02; 21:55;
Qatar Airways;QR 3693;1;Programado - Puntual;2018-11-02;23:55;23:49;Naples;NAP;2018-11-02; 21:55;
Ryanair;FR 4596;2;Programado - Puntual;2018-11-02;23:55;23:55;Porto;OPO;2018-11-02; 21:05;
Vueling;VY 8657;1;Programado - Puntual;2018-11-02;23:55;23:54;Prague;PRG;2018-11-02; 21:30;
Iberia;IB 5323;1;Programado - Puntual;2018-11-02;23:55;23:54;Prague;PRG;2018-11-02; 21:30;
Ryanair;FR 3081;2;Programado - Puntual;2018-11-02;23:59;00:00;Malaga;AGP;2018-11-02; 22:20;
